0,2019-02-18,2019-02-25,133.49322,132.656295,-14,short,9.85390339500011
1,2019-02-25,2019-02-26,132.656295,138.07092999999998,1,long,5.279271387499976
2,2019-02-26,2019-02-28,138.07092999999998,135.977955,-13,short,25.42735724749957
3,2019-02-28,2019-03-01,135.977955,135.5322,1,long,-0.5815100775000197
4,2019-03-01,2019-03-02,135.5322,135.217575,-13,short,2.3302514624997164
5,2019-03-02,2019-03-03,135.217575,132.53369999999998,1,long,-2.817750637500029
6,2019-03-03,2019-03-04,132.53369999999998,130.995465,-14,short,19.690585844999806
7,2019-03-04,2019-03-05,130.995465,126.31680999999999,1,long,-4.807311137500006
8,2019-03-05,2019-03-06,126.31680999999999,137.018475,-14,short,-151.66665699500007
9,2019-04-03,2019-04-16,163.23834,160.14003,-12,short,35.23944977999997
10,2019-04-17,2019-04-22,165.347285,168.714315,-11,short,-38.874668799999995
11,2019-04-17,2019-04-24,165.347285,169.334625,-1,short,-4.154680954999989
12,2019-04-24,2019-04-25,169.334625,164.03794,10,long,-54.63371282499997
13,2019-04-25,2019-04-26,164.03794,154.78735500000002,-2,short,18.182344704999945
14,2019-04-26,2019-04-27,154.78735500000002,157.87102499999997,10,long,29.273408099999553
15,2019-04-27,2019-04-28,157.87102499999997,159.35964,-2,short,-3.2944606650000767
16,2019-04-28,2019-04-29,159.35964,157.791065,10,long,-17.2715035250001
17,2019-04-29,2019-04-30,157.791065,155.167545,-2,short,4.934081390000027
18,2019-04-30,2019-05-01,155.167545,161.669125,10,long,63.43161665000018
19,2019-05-01,2019-05-02,161.669125,160.28009999999998,-2,short,2.4561007750000643
20,2019-05-02,2019-05-03,160.28009999999998,161.749085,10,long,13.07970407500032
21,2019-05-03,2019-05-04,161.749085,168.14403000000001,-2,short,-13.119783115000015
22,2019-05-04,2019-05-05,168.14403000000001,163.61814999999999,9,long,-42.22584981000026
23,2019-05-05,2019-05-06,163.61814999999999,163.071495,-3,short,1.149930532499961
24,2019-05-06,2019-05-07,163.071495,172.883515,9,long,86.79638245499991
25,2019-05-07,2019-05-08,172.883515,168.98445,-2,short,7.456262034999958
26,2019-05-08,2019-05-09,168.98445,170.71460000000002,9,long,14.04270427500008
27,2019-05-09,2019-05-10,170.71460000000002,171.06548999999998,-2,short,-1.0435600899999282
28,2019-05-10,2019-05-11,171.06548999999998,172.803555,9,long,14.095174297500053
29,2019-05-11,2019-06-04,172.803555,251.54570999999999,-2,short,-157.90865926499998
30,2019-06-04,2019-06-05,251.54570999999999,241.30928500000002,5,long,-52.41426248749984
31,2019-06-05,2019-06-06,241.30928500000002,246.08298000000002,-3,short,-15.052173397500011
32,2019-06-06,2019-06-07,246.08298000000002,248.125875,5,long,8.978952862499936
33,2019-06-07,2019-06-08,248.125875,249.84486,-3,short,-5.903911102500011
34,2019-06-08,2019-06-09,249.84486,244.387745,4,long,-22.816925210000065
35,2019-06-09,2019-06-10,244.387745,231.97593,-4,short,48.69453264999996
36,2019-06-10,2019-06-11,231.97593,246.666605,4,long,57.80541493
37,2019-06-11,2019-06-12,246.666605,243.80184,-4,short,10.478123110000022
38,2019-06-12,2019-06-13,243.80184,260.68959,4,long,66.54201714000004
39,2019-06-13,2019-06-14,260.68959,255.817845,-3,short,13.840473847500013
40,2019-06-14,2019-06-15,255.817845,263.238315,4,long,28.64376767999998
41,2019-06-15,2019-06-16,263.238315,268.70428499999997,-3,short,-17.195823899999912
42,2019-06-16,2019-06-17,268.70428499999997,268.4657,4,long,-2.0286799699997746
43,2019-06-17,2019-06-19,268.4657,265.362615,-3,short,8.508512527500065
44,2019-06-19,2019-06-20,265.362615,267.76604999999995,4,long,8.54748266999978
45,2019-06-20,2019-07-01,267.76604999999995,292.22604,-3,short,-74.21995813500018
46,2019-07-01,2019-07-02,292.22604,294.99243,3,long,7.418342295000004
47,2019-07-02,2019-07-03,294.99243,291.435645,-3,short,9.790712887499971
48,2019-07-03,2019-07-04,291.435645,300.49967499999997,3,long,26.304187019999837
49,2019-07-04,2019-07-05,300.49967499999997,283.431645,-3,short,50.328193019999894
50,2019-07-05,2019-07-06,283.431645,287.426215,4,long,14.83656428000004
51,2019-07-06,2019-07-07,287.426215,288.174015,-2,short,-2.0712002299999677
52,2019-07-07,2019-07-08,288.174015,304.32776,4,long,63.42997645000006
53,2019-07-08,2019-07-11,304.32776,289.43464500000005,-2,short,29.192467594999933
54,2019-07-11,2019-07-12,289.43464500000005,268.22582,4,long,-85.95062093000018
55,2019-07-12,2019-07-13,268.22582,274.65726,-3,short,-20.108644620000028
56,2019-07-13,2019-07-14,274.65726,268.715575,4,long,-24.853485670000026
57,2019-07-14,2019-07-15,268.715575,226.01295000000002,-3,short,127.36578221249995
58,2019-07-15,2019-08-02,226.01295000000002,216.921485,5,long,-46.56466108750014
59,2019-08-02,2019-08-03,216.921485,218.08899,-4,short,-5.540040950000022
60,2019-08-03,2019-08-04,218.08899,222.32878,5,long,20.097905574999995
61,2019-08-04,2019-08-05,222.32878,221.820855,-3,short,0.8575505475000005
62,2019-08-05,2019-08-06,221.820855,233.58315,6,long,69.20755798499997
63,2019-08-06,2019-08-07,233.58315,226.41315,-2,short,13.880003699999975
64,2019-08-07,2019-08-08,226.41315,226.24682,6,long,-2.3559599099999273
65,2019-08-08,2019-08-09,226.24682,221.580735,-2,short,8.88434244500002
66,2019-08-09,2019-08-10,221.580735,210.15487,7,long,-81.49212961750011
67,2019-08-10,2019-08-11,210.15487,206.593245,-2,short,6.706501884999985
68,2019-08-11,2019-08-12,206.593245,215.93197999999998,7,long,63.8923067124999
69,2019-08-12,2019-08-13,215.93197999999998,211.735815,-2,short,7.964662204999959
70,2019-08-13,2019-08-14,211.735815,209.085405,7,long,-20.025744269999954
71,2019-08-14,2019-08-15,209.085405,187.36363500000002,-2,short,43.047090959999984
72,2019-08-15,2019-08-20,187.36363500000002,202.188855,8,long,117.04355003999979
73,2019-08-20,2019-08-21,202.188855,196.568235,-1,short,5.421241455000002
74,2019-08-21,2019-09-08,196.568235,177.45122999999998,9,long,-173.73613259250004
75,2019-09-08,2019-09-09,177.45122999999998,181.23057,-2,short,-7.917361800000038
76,2019-09-09,2019-09-10,181.23057,180.45972500000002,9,long,-8.56521132749982
77,2019-09-10,2019-09-11,180.45972500000002,180.00995999999998,-2,short,0.5390603150000839
78,2019-09-11,2019-09-12,180.00995999999998,178.19086000000001,9,long,-17.983803689999668
79,2019-09-12,2019-09-13,178.19086000000001,180.82036499999998,-2,short,-5.618021224999932
80,2019-09-13,2019-09-14,180.82036499999998,180.899505,9,long,-0.9154794149997865
81,2019-09-14,2019-09-15,180.899505,188.2941,-2,short,-15.158383604999962
82,2019-09-15,2019-09-16,188.2941,188.955475,8,long,3.7820017000001673
83,2019-09-16,2019-09-17,188.955475,197.288595,-2,short,-17.05248406999996
84,2019-09-17,2019-09-18,197.288595,207.85602,8,long,82.91882154000011
85,2019-09-18,2019-09-24,207.85602,201.54072,-1,short,6.110601630000008
86,2019-09-24,2019-09-28,201.54072,173.743085,8,long,-223.8822152199999
87,2019-09-28,2019-09-29,173.743085,173.70681000000002,-3,short,-0.4123498425000325
88,2019-09-29,2019-10-01,173.70681000000002,180.799555,8,long,55.32393453999983
89,2019-10-01,2019-10-02,180.799555,175.92792,-3,short,14.079813787499994
90,2019-10-02,2019-10-03,175.92792,180.179865,8,long,32.59112886000005
91,2019-10-03,2019-10-04,180.179865,174.76734000000002,-3,short,15.705154192499965
92,2019-10-04,2019-10-05,174.76734000000002,175.35228,8,long,3.279041519999911
93,2019-10-05,2019-10-06,175.35228,176.29810500000002,-3,short,-3.3649505775000406
94,2019-10-06,2019-10-07,176.29810500000002,170.124895,8,long,-50.77137200000009
95,2019-10-07,2019-10-08,170.124895,179.819865,-3,short,-29.60982713999995
96,2019-10-08,2019-10-09,179.819865,180.439735,8,long,3.517921600000161
97,2019-10-09,2019-10-10,180.439735,192.65628,-3,short,-37.20927902249999
98,2019-10-10,2019-10-11,192.65628,190.98446,7,long,-13.045482589999978
99,2019-10-11,2019-10-12,190.98446,180.860385,-3,short,29.814457732500014
0,2019-10-12,2019-10-13,180.860385,179.56017500000002,8,long,-11.843362239999943
1,2019-10-13,2019-10-14,179.56017500000002,181.07048999999998,-3,short,-5.071890997499889
2,2019-10-14,2019-10-15,181.07048999999998,186.62664,8,long,42.97841148000025
3,2019-10-15,2019-10-16,186.62664,180.61026,-2,short,11.665523099999996
4,2019-10-16,2019-10-17,180.61026,174.43274000000002,9,long,-57.19537349999988
5,2019-10-17,2019-10-18,174.43274000000002,177.4887,-2,short,-6.463841439999941
6,2019-10-18,2019-10-19,177.4887,172.663625,9,long,-45.00136046249998
7,2019-10-19,2019-10-20,172.663625,171.995955,-2,short,0.9906804199999738
8,2019-10-20,2019-10-21,171.995955,175.142385,9,long,26.75574746999983
