,timestamp,BTC/USDT_open,BTC/USDT_high,BTC/USDT_low,BTC/USDT_close,BTC/USDT_volume,BTC/USDT_zscore
19,2024-03-23,63794.8,65995.0,63000.0,63990.01,17791.955665,-1.1957039223118802
20,2024-03-24,63990.01,67628.69,63778.19,67210.0,16342.816214,-0.11378477665750353
21,2024-03-25,67210.0,71145.0,66385.06,69880.03,14624.559566,0.6907014764717279
22,2024-03-26,69880.03,71559.99,69296.35,69987.99,13109.930316,0.6595403364660435
23,2024-03-27,69987.99,71769.54,68372.8,69469.99,13290.991959,0.4372191065214758
24,2024-03-28,69469.99,71552.06,68903.63,70780.6,10399.06175,0.8234921018333659
25,2024-03-29,70780.6,70916.15,69018.87,69850.53,6995.447118,0.4830171625422531
26,2024-03-30,69850.53,70321.1,69540.0,69582.17,8496.927455,0.3820870375298567
27,2024-03-31,69582.17,71365.99,69562.99,71286.81,8893.900785,0.975550908344458
28,2024-04-01,71286.81,71288.23,68063.56,69649.8,7637.716775,0.4656062900531026
29,2024-04-02,69649.8,69671.79,64572.6,65464.0,8975.186805,-0.8990383151281915
30,2024-04-03,65464.0,66903.63,64497.5,65963.27,10027.247892,-0.639203257156238
31,2024-04-04,65963.27,69303.0,65070.79,68487.79,9222.798685,0.34049904592803215
32,2024-04-05,68487.79,68754.96,65967.11,67820.63,9077.93285,0.0374293430326472
33,2024-04-06,67820.63,69692.0,67447.83,68896.0,11964.363396,0.4470800842327499
34,2024-04-07,68896.0,70320.0,68824.0,69360.38,7849.175621,0.5884473744980001
35,2024-04-08,69360.38,72797.98,69048.0,71620.01,7651.63505,1.423305246284121
36,2024-04-09,71620.01,71753.63,68210.0,69146.01,8356.351978,0.32691993131912644
37,2024-04-10,69146.01,71169.41,67518.55,70631.08,10387.192171,0.8761086001912043
38,2024-04-11,70631.08,71303.27,69567.21,70006.23,8201.085211,0.5323889074602577
39,2024-04-12,70006.23,71227.46,65100.0,67120.87,9599.095226,-1.197927168854862
40,2024-04-13,67120.87,67927.51,60661.0,63919.57,9993.737006,-2.526344483204037
41,2024-04-14,63919.57,65821.54,62134.01,65661.85,8886.65892,-1.4595982932492655
42,2024-04-15,65661.85,66850.0,62277.01,63415.89,9300.625821,-2.0855058006567795
43,2024-04-16,63415.89,64364.34,61601.04,63793.39,9859.008848,-1.6722827164080671
44,2024-04-17,63793.39,64490.0,59682.0,61277.37,10936.345569,-2.177383409353797
45,2024-04-18,61277.37,64108.8,60804.02,63470.08,9473.190701,-1.27801317663389
46,2024-04-19,63470.08,65440.72,59601.0,63818.0,9449.591081,-1.0505150708495865
47,2024-04-20,63818.0,65419.0,63090.07,64940.59,12647.764825,-0.6083189413630542
48,2024-04-21,64940.59,65695.56,64237.51,64941.15,11782.098256,-0.538619546382675
49,2024-04-22,64941.15,67232.35,64501.45,66819.33,4198.737252,0.09219648499683991
50,2024-04-23,66819.33,67183.27,65765.15,66414.0,9731.302782,-0.0573716485948846
51,2024-04-24,66414.0,67070.43,63606.06,64289.58,13204.317574,-0.7254211835488245
52,2024-04-25,64289.58,65280.0,62800.0,64498.34,18105.442126,-0.5930031013728355
53,2024-04-26,64498.34,64815.0,63304.0,63770.01,6608.310925,-0.7638051673663415
54,2024-04-27,63770.01,63923.41,62400.0,63461.99,3505.400223,-0.787085020740284
55,2024-04-28,63461.99,64370.0,62781.78,63118.63,3933.137314,-0.8598406099024947
56,2024-04-29,63118.63,64219.17,61771.0,63852.0,7986.629211,-0.48531178391996604
57,2024-04-30,63852.0,64734.0,59200.0,60672.0,9111.467845,-1.8417734804788484
58,2024-05-01,60672.0,60848.11,56555.0,58364.96,11755.346658,-2.685085007588376
59,2024-05-02,58364.96,59619.74,56946.97,59060.6,10336.425923,-2.0333138591795397
60,2024-05-03,59060.6,63332.99,58811.32,62882.0,7316.411885,-0.25029536009755227
61,2024-05-04,62882.0,64536.37,62553.91,63892.03,4077.908396,0.262371854859741
62,2024-05-05,63892.03,64639.81,62854.37,64011.99,4386.97168,0.3042638208333438
63,2024-05-06,64011.99,65499.99,62706.22,63165.18,8622.802494,-0.08070376538808728
64,2024-05-07,63165.18,64404.01,62261.0,62312.07,9912.409315,-0.5181862266241896
65,2024-05-08,62312.07,63020.21,60888.0,61194.29,10835.417718,-0.9751440324219095
66,2024-05-09,61194.29,63429.03,60630.01,63074.0,8927.391068,-0.07643275633179758
67,2024-05-10,63074.0,63465.0,60190.0,60800.0,6372.560019,-1.0342369983728854
68,2024-05-11,60800.0,61509.8,60488.0,60826.0,4107.516486,-0.9248753291570638
69,2024-05-12,60826.0,61871.94,60620.0,61484.0,5466.249645,-0.5472256372852797
70,2024-05-13,61484.0,63450.0,60749.99,62940.08,8694.119647,0.31927426589001084
71,2024-05-14,62940.08,63117.42,61142.78,61577.5,7653.23773,-0.39621724015870385
