,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
21,2020-09-12,4.645,5.289,4.5,5.137,1216136.21,2.57256,2.63731,2.4921,2.60102,355327.04
22,2020-09-13,5.137,5.477,4.788,5.31,1478875.89,2.60102,2.74251,2.52876,2.62329,519346.99
23,2020-09-14,5.31,5.576,5.094,5.364,1232383.94,2.62329,2.6975,2.53759,2.61305,294169.2
24,2020-09-15,5.364,5.45,5.051,5.055,933079.17,2.61305,2.67653,2.50037,2.50163,381935.66
25,2020-09-16,5.055,5.283,4.978,5.076,844084.89,2.50163,2.53404,2.41455,2.47164,272292.99
26,2020-09-17,5.076,5.424,5.047,5.337,903627.51,2.47164,2.55956,2.44327,2.47252,141318.57
27,2020-09-18,5.337,5.451,5.101,5.259,776912.75,2.47252,2.51661,2.32612,2.38794,137723.7
28,2020-09-19,5.259,5.261,4.813,4.926,708845.75,2.38794,2.39093,2.26749,2.31941,136931.43
29,2020-09-20,4.926,4.971,4.41,4.669,901989.47,2.31941,2.38404,2.16208,2.21986,154528.25
30,2020-09-21,4.669,4.697,3.921,4.071,1347655.28,2.21986,2.26777,1.91531,1.97338,344307.56
31,2020-09-22,4.071,4.21,3.901,4.168,780731.93,1.97338,2.18312,1.96246,2.10851,253680.57
32,2020-09-23,4.168,4.322,3.942,4.008,914787.18,2.10851,2.15131,1.91719,1.95258,309274.34
33,2020-09-24,4.008,4.468,3.96,4.382,885159.33,1.95258,2.17855,1.93739,2.15374,272617.16
34,2020-09-25,4.382,4.529,4.245,4.418,781349.0,2.15374,2.27726,2.10059,2.20901,263034.92
35,2020-09-26,4.418,4.47,4.231,4.334,674152.26,2.20901,2.24011,2.14057,2.16928,230272.68
36,2020-09-27,4.334,4.36,4.118,4.3,712986.21,2.16928,2.22411,2.09746,2.17601,226537.61
37,2020-09-28,4.3,4.59,4.249,4.393,825585.54,2.17601,2.36382,2.17475,2.24528,254334.02
38,2020-09-29,4.393,4.607,4.352,4.493,803606.52,2.24528,2.28113,2.13584,2.22954,240996.72
39,2020-09-30,4.493,4.502,4.243,4.347,551556.62,2.22954,2.2374,2.13736,2.19949,188332.37
40,2020-10-01,4.347,4.585,4.251,4.346,463165.88,2.19949,2.29724,1.95346,2.19081,195506.46
41,2020-10-02,4.346,4.361,3.902,4.117,526364.2,2.19081,2.20835,2.021,2.08595,176150.96
42,2020-10-03,4.117,4.127,4.026,4.061,368816.78,2.08595,2.14274,2.07118,2.11286,128136.52
43,2020-10-04,4.061,4.199,4.016,4.18,363402.83,2.11286,2.14948,2.08567,2.11306,124140.69
44,2020-10-05,4.18,4.247,4.107,4.159,350621.58,2.11306,2.16569,2.07929,2.14175,124542.63
45,2020-10-06,4.159,4.181,3.611,3.749,554446.82,2.14175,2.24434,2.03864,2.06207,183332.12
46,2020-10-07,3.749,3.883,3.601,3.853,570783.35,2.06207,2.127,2.035,2.06751,172894.48
47,2020-10-08,3.853,4.161,3.641,4.111,521753.06,2.06751,2.14662,2.00234,2.11014,168184.11
48,2020-10-09,4.111,4.35,4.008,4.251,469985.42,2.11014,2.23774,2.07525,2.19521,162551.04
49,2020-10-10,4.251,4.485,4.232,4.26,444735.44,2.19521,2.28481,2.19148,2.20742,151363.64
50,2020-10-11,4.26,4.332,4.17,4.246,366143.63,2.20742,2.31417,2.1903,2.24937,137436.24
51,2020-10-12,4.246,4.449,4.201,4.308,473564.8,2.24937,2.38613,2.23104,2.34294,157144.01
52,2020-10-13,4.308,4.352,4.143,4.248,535573.98,2.34294,2.45251,2.32011,2.39977,162812.24
53,2020-10-14,4.248,4.378,4.084,4.184,555233.11,2.39977,2.42129,2.23517,2.27319,149477.28
54,2020-10-15,4.184,4.19,4.019,4.099,544047.89,2.27319,2.30507,2.21079,2.23781,158987.65
55,2020-10-16,4.099,4.159,3.81,3.916,606446.36,2.23781,2.27458,2.15757,2.1654,163960.78
56,2020-10-17,3.916,3.982,3.859,3.965,462574.01,2.1654,2.21839,2.1526,2.18535,130476.64
57,2020-10-18,3.965,4.126,3.953,4.107,471922.28,2.18535,2.23893,2.18126,2.22513,112196.33
