,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,SOL/USDT_open,SOL/USDT_high,SOL/USDT_low,SOL/USDT_close,SOL/USDT_volume,spread_zscore
592,2020-08-16,432.12,436.64,413.04,433.57,30349.15677,3.1671,3.4645,3.13,3.3679,78614.71,1.4795172010592954
593,2020-08-17,433.57,445.58,420.52,430.81,30053.93394,3.3679,3.3778,3.1009,3.1091,59476.68,1.4030469329069355
594,2020-08-18,430.81,433.71,415.0,422.12,30520.47236,3.1091,3.7259,2.8724,3.3313,214996.1,1.1671730241624947
595,2020-08-19,422.12,424.81,393.9,407.36,40048.4188,3.3313,3.4891,2.7988,2.8873,172689.78,0.9709537704511635
596,2020-08-20,407.36,418.88,402.29,415.9,22406.455,2.8873,3.4348,2.8859,3.2067,96316.79,0.9958285737601175
597,2020-08-21,415.9,418.63,385.24,387.93,32114.70794,3.2067,3.2282,2.9,2.9306,84587.97,0.5702971470218694
598,2020-08-22,387.93,396.88,380.0,395.27,24008.12398,2.9306,3.1882,2.7443,3.0191,63973.55,0.6325439201228925
599,2020-08-23,395.27,396.86,383.34,390.64,18851.72303,3.0191,3.3981,3.0089,3.27,72579.32,0.4703175770545785
600,2020-08-24,390.64,410.34,387.6,407.67,40585.60746,3.27,3.614,3.2094,3.3449,142243.52,0.7048555953422097
601,2020-08-25,407.67,409.02,370.16,383.07,74481.10823,3.3449,3.3519,3.0107,3.2494,165848.19,0.2532041011461446
602,2020-08-26,383.07,392.74,377.57,385.83,51680.97679,3.2494,3.7916,3.1789,3.5517,231655.92,0.19268303986118512
603,2020-08-27,385.83,397.0,372.0,383.14,54962.38633,3.5517,3.8475,3.2634,3.444,212157.41,0.11524372406548349
604,2020-08-28,383.14,397.62,379.72,395.14,46274.78903,3.444,4.2988,3.444,4.0057,252119.44,0.17583768609076758
605,2020-08-29,395.14,405.49,391.94,398.66,45648.09393,4.0057,4.095,3.7757,3.9614,177083.12,0.21391415734817953
606,2020-08-30,398.66,429.79,398.37,428.88,51138.98817,3.9614,4.7008,3.8979,4.4287,200679.19,0.7934227195626516
607,2020-08-31,428.88,438.92,418.2,433.74,55395.21414,4.4287,4.8711,4.0955,4.7418,192625.97,0.8042405322659363
608,2020-09-01,433.74,488.47,429.51,475.44,91085.50306,4.7418,4.9444,4.2992,4.3248,180761.58,2.08562659273264
609,2020-09-02,475.44,481.2,421.18,439.51,97359.98839,4.3248,4.3478,3.6333,4.1634,225855.61,1.070672120366774
610,2020-09-03,439.51,450.52,372.46,381.59,101069.05061,4.1634,4.4401,3.4843,3.5049,272480.26,-0.6055365101393232
611,2020-09-04,381.59,400.0,360.4,385.32,75289.20646,3.5049,3.8238,3.1799,3.5338,214525.19,-0.5698165923902656
612,2020-09-05,385.32,394.56,309.0,335.16,93123.81166,3.5338,3.6508,2.1116,2.5952,332310.54,-1.999805560614922
613,2020-09-06,335.16,359.93,316.47,352.57,80720.23935,2.5952,3.1631,2.2569,3.08,314998.93,-1.65617456088622
614,2020-09-07,352.57,358.62,323.4,353.5,64768.58826,3.08,3.1843,2.3794,2.9283,265960.97,-1.6385002755149511
615,2020-09-08,353.5,356.38,325.31,337.43,57768.28372,2.9283,2.9373,2.4003,2.4649,192355.62,-2.0239493392656147
616,2020-09-09,337.43,358.8,330.81,350.92,47393.88355,2.4649,3.8614,2.3841,3.602,382577.22,-1.9407319609228377
617,2020-09-10,350.92,377.23,350.2,367.99,264225.3239,3.602,3.8572,3.3077,3.4701,324762.53,-1.178055433861106
618,2020-09-11,367.99,375.12,355.96,373.62,53370.36129,3.4701,3.4981,3.0405,3.4031,217545.13,-0.9135934131915748
619,2020-09-12,373.62,388.17,365.0,387.76,29948.03466,3.4031,3.4618,3.1504,3.33,175833.63,-0.34752254526331333
620,2020-09-13,387.76,389.78,353.85,366.39,36229.82542,3.33,3.4719,3.0,3.2548,206279.38,-1.048843460098505
621,2020-09-14,366.39,384.25,356.02,377.13,37431.548,3.2548,3.5246,3.0775,3.2622,242951.38,-0.6280977469644672
622,2020-09-15,377.13,382.31,362.57,364.21,35169.41303,3.2622,3.3169,2.9007,2.9281,172170.05,-0.9113275427556439
623,2020-09-16,364.21,373.15,355.21,364.9,31389.99917,2.9281,2.9283,2.4336,2.5378,304745.1,-0.6977155943783939
624,2020-09-17,364.9,393.97,363.43,389.37,38565.15303,2.5378,2.9331,2.3596,2.8827,280042.76,0.044554651572284
625,2020-09-18,389.37,392.47,375.71,384.45,28299.08415,2.8827,3.1561,2.7336,3.1073,254433.99,-0.21765027878410118
626,2020-09-19,384.45,388.34,377.32,385.2,26740.36218,3.1073,3.2494,2.9555,3.0216,203605.2,-0.14626130751845168
627,2020-09-20,385.2,385.42,365.01,370.9,25684.22183,3.0216,3.0237,2.7026,2.8672,176833.05,-0.5910775278010049
628,2020-09-21,370.9,376.54,331.15,340.01,39907.77165,2.8672,3.0272,2.4682,2.7581,272232.9,-1.5710096952085648
629,2020-09-22,340.01,346.84,335.62,344.2,26853.6536,2.7581,2.9999,2.6536,2.9109,202195.98,-1.406435550916337
630,2020-09-23,344.2,344.66,313.55,320.15,30286.5069,2.9109,3.0718,2.707,2.8374,137903.75,-2.0565866130590646
631,2020-09-24,320.15,352.97,316.93,349.05,30106.05724,2.8374,3.249,2.7792,3.1385,113616.79,-1.1564801940082188
632,2020-09-25,349.05,357.79,337.75,351.93,27935.06348,3.1385,3.2631,2.9002,3.1884,100373.72,-1.0332489004851129
633,2020-09-26,351.93,356.18,346.06,353.94,24828.18613,3.1884,3.2048,3.0298,3.1352,83601.42,-0.9017904306139892
634,2020-09-27,353.94,362.03,347.38,357.44,26951.15808,3.1352,3.1787,2.987,3.1578,72698.69,-0.7456865533989696
635,2020-09-28,357.44,367.45,352.14,354.03,25578.10437,3.1578,3.2047,2.9115,2.9544,74335.84,-0.741829440165523
636,2020-09-29,354.03,361.55,350.5,359.8,25309.48595,2.9544,3.0162,2.8797,2.9473,78637.83,-0.48796203541094696
637,2020-09-30,359.8,361.39,351.77,359.75,18688.31491,2.9473,2.9849,2.8301,2.8964,81473.66,-0.44155305759324215
638,2020-10-01,359.75,370.0,345.89,353.03,18652.40394,2.8964,2.9838,2.6593,2.8652,82907.14,-0.6473618120554141
639,2020-10-02,353.03,354.45,334.28,345.69,21032.79092,2.8652,2.8798,2.438,2.6208,125060.69,-0.7793284438255976
640,2020-10-03,345.69,350.9,343.72,345.93,13639.4086,2.6208,2.665,2.5394,2.546,68765.8,-0.6969487195048029
641,2020-10-04,345.93,354.23,344.02,352.43,13085.55735,2.546,2.5858,2.426,2.5188,94884.41,-0.41218105780232245
642,2020-10-05,352.43,355.54,348.62,353.5,13607.20417,2.5188,2.6676,2.4599,2.6508,80087.76,-0.410128716930704
643,2020-10-06,353.5,354.99,337.0,340.75,18036.66174,2.6508,2.6538,2.1348,2.1719,110854.86,-0.6551833581971658
644,2020-10-07,340.75,342.77,333.28,341.84,17064.56218,2.1719,2.3998,2.0846,2.3003,124571.1,-0.6393450983789326
645,2020-10-08,341.84,353.25,334.2,350.59,15471.32659,2.3003,2.4439,2.0207,2.3687,121049.21,-0.30790462661210144
646,2020-10-09,350.59,368.29,347.64,365.11,21065.39698,2.3687,2.6238,2.3079,2.5326,113091.74,0.22922666499205435
647,2020-10-10,365.11,378.33,364.79,370.6,24945.39535,2.5326,2.5991,2.3921,2.398,89816.81,0.5785674581647857
648,2020-10-11,370.6,377.44,369.01,374.19,20655.6279,2.398,2.4581,2.34,2.4253,90028.78,1.0486941199574087
649,2020-10-12,374.19,394.77,365.64,386.51,21141.75217,2.4253,2.6991,2.4143,2.5829,94845.46,1.9435461551752193
650,2020-10-13,386.51,387.59,374.66,381.01,21176.56019,2.5829,2.5832,2.3364,2.4011,107293.44,1.6632341326564455
651,2020-10-14,381.01,387.2,373.39,378.61,21309.50321,2.4011,2.44,2.2431,2.3147,82889.17,1.5395811035230464
652,2020-10-15,378.61,381.48,370.02,377.66,21280.60807,2.3147,2.3454,2.2,2.2672,79824.03,1.4388729066308288
653,2020-10-16,377.66,379.7,360.54,365.01,29381.393,2.2672,2.2677,2.1068,2.1385,91701.98,0.7181486278703939
654,2020-10-17,365.01,370.21,363.17,368.1,15929.5229,2.1385,2.2394,2.1112,2.2053,73937.07,0.8200764308476838
655,2020-10-18,368.1,378.36,366.99,378.14,15554.77189,2.2053,2.2538,2.1765,2.2106,64580.12,1.357826357929203
656,2020-10-19,378.14,384.29,372.64,379.16,17187.55619,2.2106,2.211,2.0499,2.0543,78549.99,1.4531275256763991
657,2020-10-20,379.16,380.67,365.94,368.49,19707.44443,2.0543,2.098,1.8474,1.8862,94208.38,0.8894563855634429
658,2020-10-21,368.49,400.97,367.71,390.43,35007.5639,1.8862,2.1006,1.8516,1.89,101927.33,2.0308099422829016
